#SNAME	SCANTYPE	FRAME	LONGITUDE	LATITUDE	DATETIME	SIDEREALTIME
C/2012	TLESCAN	EQ	16:03:54.12	-22:48:23.3	2013/11/28 06:29:06	11:35:22.82
C/2012	TLESCAN	EQ	16:03:54.21	-22:48:23.3	2013/11/28 06:29:11	11:35:27.83
C/2012	TLESCAN	EQ	16:03:54.30	-22:48:23.2	2013/11/28 06:29:15	11:35:32.84
C/2012	TLESCAN	EQ	16:03:54.38	-22:48:23.2	2013/11/28 06:29:20	11:35:36.86
C/2012	TLESCAN	EQ	16:03:54.47	-22:48:23.2	2013/11/28 06:29:25	11:35:41.87
C/2012	TLESCAN	EQ	16:03:54.56	-22:48:23.2	2013/11/28 06:29:30	11:35:46.88
C/2012	TLESCAN	EQ	16:03:54.65	-22:48:23.2	2013/11/28 06:29:35	11:35:51.90
C/2012	TLESCAN	EQ	16:03:54.74	-22:48:23.2	2013/11/28 06:29:39	11:35:56.91
C/2012	TLESCAN	EQ	16:03:54.81	-22:48:23.2	2013/11/28 06:29:44	11:36:00.92
C/2012	TLESCAN	EQ	16:03:54.90	-22:48:23.2	2013/11/28 06:29:49	11:36:05.93
C/2012	TLESCAN	EQ	16:03:54.99	-22:48:23.1	2013/11/28 06:29:54	11:36:10.95
C/2012	TLESCAN	EQ	16:03:55.09	-22:48:23.1	2013/11/28 06:29:58	11:36:15.96
C/2012	TLESCAN	EQ	16:03:55.16	-22:48:23.1	2013/11/28 06:30:03	11:36:19.97
C/2012	TLESCAN	EQ	16:03:55.25	-22:48:23.1	2013/11/28 06:30:08	11:36:24.99
C/2012	TLESCAN	EQ	16:03:55.34	-22:48:23.1	2013/11/28 06:30:13	11:36:30.00
C/2012	TLESCAN	EQ	16:03:55.43	-22:48:23.1	2013/11/28 06:30:18	11:36:35.01
C/2012	TLESCAN	EQ	16:03:55.52	-22:48:23.1	2013/11/28 06:30:22	11:36:40.03
C/2012	TLESCAN	EQ	16:03:55.59	-22:48:23.1	2013/11/28 06:30:27	11:36:44.04
C/2012	TLESCAN	EQ	16:03:55.69	-22:48:23.0	2013/11/28 06:30:32	11:36:49.05
C/2012	TLESCAN	EQ	16:03:55.78	-22:48:23.0	2013/11/28 06:30:37	11:36:54.07
C/2012	TLESCAN	EQ	16:03:55.87	-22:48:23.0	2013/11/28 06:30:41	11:36:59.08
C/2012	TLESCAN	EQ	16:03:55.94	-22:48:23.0	2013/11/28 06:30:46	11:37:03.09
C/2012	TLESCAN	EQ	16:03:56.03	-22:48:23.0	2013/11/28 06:30:51	11:37:08.10
C/2012	TLESCAN	EQ	16:03:56.12	-22:48:23.0	2013/11/28 06:30:56	11:37:13.12
C/2012	TLESCAN	EQ	16:03:56.21	-22:48:23.0	2013/11/28 06:31:01	11:37:18.13
C/2012	TLESCAN	EQ	16:03:56.30	-22:48:22.9	2013/11/28 06:31:05	11:37:23.15
C/2012	TLESCAN	EQ	16:03:56.38	-22:48:22.9	2013/11/28 06:31:09	11:37:27.16
C/2012	TLESCAN	EQ	16:03:56.45	-22:48:22.9	2013/11/28 06:31:13	11:37:31.17
C/2012	TLESCAN	EQ	16:03:56.52	-22:48:22.9	2013/11/28 06:31:17	11:37:35.18
C/2012	TLESCAN	EQ	16:03:56.59	-22:48:22.9	2013/11/28 06:31:21	11:37:39.19
C/2012	TLESCAN	EQ	16:03:56.67	-22:48:22.9	2013/11/28 06:31:25	11:37:43.20
C/2012	TLESCAN	EQ	16:03:56.74	-22:48:22.9	2013/11/28 06:31:29	11:37:47.21
C/2012	TLESCAN	EQ	16:03:56.81	-22:48:22.9	2013/11/28 06:31:33	11:37:51.22
C/2012	TLESCAN	EQ	16:03:56.88	-22:48:22.9	2013/11/28 06:31:37	11:37:55.23
C/2012	TLESCAN	EQ	16:03:56.96	-22:48:22.8	2013/11/28 06:31:41	11:37:59.24
C/2012	TLESCAN	EQ	16:03:57.03	-22:48:22.8	2013/11/28 06:31:45	11:38:03.26
C/2012	TLESCAN	EQ	16:03:57.10	-22:48:22.8	2013/11/28 06:31:49	11:38:07.27
C/2012	TLESCAN	EQ	16:03:57.18	-22:48:22.8	2013/11/28 06:31:53	11:38:11.28
C/2012	TLESCAN	EQ	16:03:57.25	-22:48:22.8	2013/11/28 06:31:57	11:38:15.29
C/2012	TLESCAN	EQ	16:03:57.32	-22:48:22.8	2013/11/28 06:32:01	11:38:19.30
C/2012	TLESCAN	EQ	16:03:57.39	-22:48:22.8	2013/11/28 06:32:06	11:38:23.31
C/2012	TLESCAN	EQ	16:03:57.48	-22:48:22.8	2013/11/28 06:32:11	11:38:28.32
C/2012	TLESCAN	EQ	16:03:57.58	-22:48:22.8	2013/11/28 06:32:15	11:38:33.34
C/2012	TLESCAN	EQ	16:03:57.65	-22:48:22.7	2013/11/28 06:32:20	11:38:37.35
C/2012	TLESCAN	EQ	16:03:57.74	-22:48:22.7	2013/11/28 06:32:25	11:38:42.36
C/2012	TLESCAN	EQ	16:03:57.83	-22:48:22.7	2013/11/28 06:32:30	11:38:47.38
C/2012	TLESCAN	EQ	16:03:57.92	-22:48:22.7	2013/11/28 06:32:34	11:38:52.39
C/2012	TLESCAN	EQ	16:03:57.99	-22:48:22.7	2013/11/28 06:32:38	11:38:56.40
C/2012	TLESCAN	EQ	16:03:58.07	-22:48:22.7	2013/11/28 06:32:42	11:39:00.41
C/2012	TLESCAN	EQ	16:03:58.14	-22:48:22.7	2013/11/28 06:32:47	11:39:04.42
C/2012	TLESCAN	EQ	16:03:58.23	-22:48:22.6	2013/11/28 06:32:52	11:39:09.44
C/2012	TLESCAN	EQ	16:03:58.32	-22:48:22.6	2013/11/28 06:32:57	11:39:14.45
C/2012	TLESCAN	EQ	16:03:58.41	-22:48:22.6	2013/11/28 06:33:02	11:39:19.46
C/2012	TLESCAN	EQ	16:03:58.50	-22:48:22.6	2013/11/28 06:33:06	11:39:24.48
C/2012	TLESCAN	EQ	16:03:58.58	-22:48:22.6	2013/11/28 06:33:11	11:39:28.49
C/2012	TLESCAN	EQ	16:03:58.67	-22:48:22.6	2013/11/28 06:33:16	11:39:33.50
C/2012	TLESCAN	EQ	16:03:58.76	-22:48:22.6	2013/11/28 06:33:21	11:39:38.52
C/2012	TLESCAN	EQ	16:03:58.85	-22:48:22.5	2013/11/28 06:33:25	11:39:43.53
C/2012	TLESCAN	EQ	16:03:58.92	-22:48:22.5	2013/11/28 06:33:30	11:39:47.54
C/2012	TLESCAN	EQ	16:03:59.01	-22:48:22.5	2013/11/28 06:33:35	11:39:52.55
C/2012	TLESCAN	EQ	16:03:59.10	-22:48:22.5	2013/11/28 06:33:40	11:39:57.57
C/2012	TLESCAN	EQ	16:03:59.19	-22:48:22.5	2013/11/28 06:33:45	11:40:02.58
C/2012	TLESCAN	EQ	16:03:59.29	-22:48:22.5	2013/11/28 06:33:49	11:40:07.59
C/2012	TLESCAN	EQ	16:03:59.36	-22:48:22.5	2013/11/28 06:33:54	11:40:11.61
C/2012	TLESCAN	EQ	16:03:59.45	-22:48:22.5	2013/11/28 06:33:59	11:40:16.62
C/2012	TLESCAN	EQ	16:03:59.54	-22:48:22.4	2013/11/28 06:34:04	11:40:21.63
C/2012	TLESCAN	EQ	16:03:59.63	-22:48:22.4	2013/11/28 06:34:08	11:40:26.65
C/2012	TLESCAN	EQ	16:03:59.70	-22:48:22.4	2013/11/28 06:34:12	11:40:30.66
C/2012	TLESCAN	EQ	16:03:59.78	-22:48:22.4	2013/11/28 06:34:16	11:40:34.67
C/2012	TLESCAN	EQ	16:03:59.85	-22:48:22.4	2013/11/28 06:34:20	11:40:38.68
